alphabet_links,alphabet_links-href,venue_link,venue_link-href,venue_name,venue_phone,venue_website,venue_description,accessibility_table,parking_information,venue_email,venue_address,venue_image-src
"M","https://atlantaplanit.wabe.org/venues/M/","Mother","https://atlantaplanit.wabe.org/venues/mother/","Mother","404-524-4605","447 Edgewood Ave. SE
ATLANTA, GA 30312","Mother is a 1915 two-story brick bar located on Edgewood Avenue that occasionally hosts special events and live music.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Street parking is available.","null","447 Edgewood Ave. SE
ATLANTA, GA 30312","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Mother.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","Mable House Arts Center","https://atlantaplanit.wabe.org/venues/mable-house-arts-center/","Mable House Arts Center","770-819-3285","5239 Floyd Rd.
MABLETON, GA 30126","Mable House Arts Center houses a modest art gallery that rotates exhibits every six weeks. Art classes for adults and children are offered three quarters a year for every skill level and medium. In the summer the center transforms into Summer Art Camp. The Mable House Complex includes the Arts Center, Barnes Amphitheatre and the historic Mable House property. A facility of Cobb County Parks, Recreation and Cultural Affairs Department, the complex offers gallery exhibitions, theatre productions, concerts, field trips, summer camps, tours and meeting space (for non-profit, arts-related organizations).","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available","vanita.dauphinais@cobbcounty.org","5239 Floyd Rd.
MABLETON, GA 30126","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/MableHouseArtsCenter.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Six Flags Over Georgia","https://atlantaplanit.wabe.org/venues/six-flags-over-georgia/","Six Flags Over Georgia","770-948-9290","275 Riverside Pkwy.","Six Flags Over Georgia has just about every kind of ride for every kind of rider. From towering coasters like the gravity-defying ride ""Goliath"" to family-pleasers like a classic carousel, they've got you covered. In addition to the most thrilling rides on the planet, you'll find a wide variety of top-shelf entertainment in shows and events at the park.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","One-day parking is available for $15 in lots at the park.","null","275 Riverside Pkwy.","https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Six_Flags_-_RollerCoaster.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","Marietta Performing Arts Center","https://atlantaplanit.wabe.org/venues/marietta-performing-arts-center/","Marietta Performing Arts Center","770-428-2631","1171 Whitlock Ave.
MARIETTA, GA 30064","The Marietta Performing Arts Center is located at Marietta High School and seats 727 people. Built in 2013, the center is used for performances, rehearsals, competitions, community events, lectures, school functions and meetings.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available in parking lots at the venue.","mpac@marietta-city.k12.ga.us","1171 Whitlock Ave.
MARIETTA, GA 30064","https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/Marietta_High_School_-_Performing_Arts_Center.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Whole World Improv Theatre","https://atlantaplanit.wabe.org/venues/whole-world-improv-theatre/","Whole World Improv Theatre","404-817-0880","1216 Spring St. NW
ATLANTA, GA 30309","Whole World Improv Theatre is a non-profit theatre company that began in Atlanta in late 1993, when a dedicated and talented core of actors united to form the hottest improv company in town.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Several paid parking lots are available within a one-block radius of the theatre. MARTA: Take the Red or Gold Line to the Arts Center station. Out of the station, head north on West Peachtree Street. Make a left on 16th Street and a left on Spring Street. Whole World Improv Theatre will be on your right.","boxoffice@wholeworldtheatre.com","1216 Spring St. NW
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2017/01/WWTC_-_venue.jpg"
"I","https://atlantaplanit.wabe.org/venues/I/","Infinite Energy Center","https://atlantaplanit.wabe.org/venues/infinite-energy-arena/","Infinite Energy Center","770-813-7600","6400 Sugarloaf Pkwy
DULUTH, GA 30097","Infinite Energy Center is an indoor arena and performing arts center outside the city limits of Duluth, Ga., within the Atlanta metropolitan area. The arena was an expansion to the Gwinnett Center, which also includes a performing arts center and a convention center.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Lot parking available","info@infiniteenergycenter.com","6400 Sugarloaf Pkwy
DULUTH, GA 30097","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Infinite_Energy_Arena.jpg"
"D","https://atlantaplanit.wabe.org/venues/D/","Decatur First United Methodist Church","https://atlantaplanit.wabe.org/venues/decatur-first-united-methodist-church/","Decatur First United Methodist Church","404-378-4541","300 East Ponce de Leon Ave.
DECATUR, GA 30030","Decatur First United Methodist Church serves as host for performances and other events.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available behind the sanctuary in the parking lot on Commerce Drive. Walk across Ponce de Leon (approximately one block) to the chapel. There is no parking available at the chapel. MARTA: Exit the Decatur Station and head south on N. McDonough St. toward West Trinity Place. Turn left to stay on N. McDonough St. Turn right at Trinity Place and then take a left on Church St. Turn right at East Ponce de Leon Ave.","beyrich@decaturfirst.org","300 East Ponce de Leon Ave.
DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/Decatur_First_United_Methodist_Church.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Spruill Gallery and Gift Shop","https://atlantaplanit.wabe.org/venues/spruill-gallery-and-gift-shop/","Spruill Gallery and Gift Shop","770-394-4019","4681 Ashford Dunwoody Rd.
ATLANTA, GA 30338","Established in 1975, The Spruill Center for the Arts is a private, non-profit organization, whose mission is to foster understanding and appreciation of the visual and performing arts by offering an extensive and diverse program of classes, a professional artist exhibition series and outreach programs for seniors, youth and audiences with special needs. The Spruill Gallery, a restored 1860 farmhouse located near Perimeter Mall, combines the charm of the past with provocative exhibits by recognized contemporary artists and regional and international fine crafts.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","gallery@spruillarts.org","4681 Ashford Dunwoody Rd.
ATLANTA, GA 30338","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/SpruillCenterfortheArts.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Wolf Creek Amphitheater","https://atlantaplanit.wabe.org/venues/wolf-creek-amphitheater/","Wolf Creek Amphitheater","404-613-9653","3025 Merk Rd.
ATLANTA, GA 30349","The Fulton County Wolf Creek Amphitheater is a world-class event venue located on a 435-acre wooded site. The outdoor amphitheater accommodates 5,200 guests with reserved seating, table seating, spacious green lawns and a Sky Box.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Parking is available for a $10 fee.","wolf.creek@fultoncountyga.gov","3025 Merk Rd.
ATLANTA, GA 30349","https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Wolf_Creek_Amphitheatre.jpg"
"P","https://atlantaplanit.wabe.org/venues/P/","Park Tavern","https://atlantaplanit.wabe.org/venues/park-tavern/","Park Tavern","404-249-0001","500 10th St. NE
ATLANTA, GA 30309","The original Stone Mountain granite structure of Park Tavern's building was built in 1905 as horse stables for local racing enthusiasts and transformed into the Men’s Club and golf clubhouse in 1928. In 1990 the building was renovated and opened as a restaurant and special events facility. The current owners, Paul and Angela Smith, purchased the building in June 1999 and renamed the restaurant Park Tavern. In 2001 Park Tavern began hosting weddings, corporate and private events in the Piedmont Room — the upstairs event space overlooking Piedmont Park. The Piedmont Garden Tent facility was added in 2004 to provide a unique outdoor garden-style venue for events.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Parking is available behind the building. The fee for parking is $3 Monday through Thursday, $5 Friday through Sunday, and $10 for special events at Piedmont Park and Park Tavern. MARTA: Take the Red/Gold Line to Midtown Station. Out of the station walk east on Piedmont Place. Turn left at Peachtree Street and right at 10th Street to reach Park Tavern.","pilar.parktavern@gmail.com","500 10th St. NE
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Park_Tavern-_outside_patio_copy.jpg"
"F","https://atlantaplanit.wabe.org/venues/F/","Fox Theatre","https://atlantaplanit.wabe.org/venues/fox-theatre/","Fox Theatre","null","660 Peachtree St. NE
ATLANTA, GA 30308","The fabulous Fox Theatre is one of Atlanta's premiere venues for live entertainment. The Fox's 4,678-seat theatre is booked for more than 300 performances a year ranging from Broadway to rock to comedy to movies. The theatre, originally the Yaarab Temple Shrine Mosque, was designed in the late 1920s as headquarters for the Shriner's organization. It was a beautifully outlandish, opulent, grandiose monument to the heady excesses of the pre-crash 1920s, a mosque-like structure complete with minarets, onion domes, and an interior decor even more lavish than its facade.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","null","null","660 Peachtree St. NE
ATLANTA, GA 30308","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Fox_-_theatre_view.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","West End Performing Arts Center","https://atlantaplanit.wabe.org/venues/west-end-performing-arts-center/","West End Performing Arts Center","404-756-6465","945 Ralph David Abernathy Blvd.
ATLANTA, GA 30310","The vision of the West End Performing Arts Center is to continue to support the Fulton County Arts Council's mission to enhance the quality of life of all Fulton County citizens through the delivery of quality arts education and performing arts programs and to provide access to underserved populations.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Free parking is available. MARTA: Take the Red or Gold Line to the West End Station. Exit onto Ralph David Abernathy Boulevard and head west. The center will be on the right just before Howell Park.","arts.council@fultoncountyga.gov","945 Ralph David Abernathy Blvd.
ATLANTA, GA 30310","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/West-End-Performing-Arts-Center.jpg"
"O","https://atlantaplanit.wabe.org/venues/O/","Oglethorpe University","https://atlantaplanit.wabe.org/venues/oglethorpe-university/","Oglethorpe University","404-261-1441","4484 Peachtree Road, NE
ATLANTA, GA 30319","Oglethorpe University is a liberal arts institution with a 170 year tradition of excellence in teaching and learning. The university's location in Atlanta offers world-class opportunities in business, government and the arts and provides a powerful complement to Oglethorpe's small-college environment.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free lot parking available MARTA: Oglethorpe University is conveniently located one mile north of the Brookhaven MARTA train station on Peachtree Road. The Brookhaven MARTA stop (labeled NE-8 on MARTA maps) is located on MARTA's ""Northeast"" line and may require a change of trains at the Lindbergh station. Taxis are usually available, or you can transfer to the #25 bus line.","null","4484 Peachtree Road, NE
ATLANTA, GA 30319","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Oglethorpe-_Logo.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Southern Museum of Civil War and Locomotive History","https://atlantaplanit.wabe.org/venues/southern-museum-of-civil-war-and-locomotive-history/","Southern Museum of Civil War and Locomotive History","770-427-2117","2829 Cherokee St.
KENNESAW, GA 30144","Southern Museum of Civil War and Locomotive History offers a wide range of exhibits, including a glimpse into the daily lives of soldiers in its Civil War collection; a reproduction of a turn-of-the-century locomotive assembly line from the Glover Machine Works; and an exciting depiction of the Civil War's Great Locomotive Chase featuring The General locomotive.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available in the museum lot.","groups@southernmuseum.org","2829 Cherokee St.
KENNESAW, GA 30144","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/SMCWLH-BuildingFront.jpg"
